,rmse,pkl,class,alpha,uuid,l2,type
88,0.49695029361208504,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_38_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
89,0.5102280289333888,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_10_6.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
90,0.5175605962266603,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_22_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
91,0.5138282833326919,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_29_1.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
92,0.5096003164444265,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_26_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
93,0.49664404971865217,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_9_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
94,0.5093233325720168,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_24_2.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
95,0.4963827962620614,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_37_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
96,0.497313293150809,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_41_2.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
97,0.5108937816764959,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_39_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
98,0.5137892564041544,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_25_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
99,0.5096375834868199,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_41_1.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
100,0.5016405793437843,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_9_7.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
101,0.5051071761624812,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_23_4.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
102,0.5067512952228437,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_32_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
103,0.5190018317488774,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_9_5.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
104,0.5145013569301881,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_12_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
105,0.5095078508914497,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_60_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
106,0.5108502969857975,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_37_2.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
107,0.49661961757603434,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_14_8.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
108,0.5154259967994248,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_49_7.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
109,0.5096457894574348,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_8_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
110,0.49683205913038747,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_43_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
111,0.5160334906622254,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_5_4.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
112,0.5143445462896131,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_3_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
113,0.5112728382932019,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_1_0.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
114,0.5090681164299996,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_67_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
115,0.5105109669889517,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_10_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
116,0.4979081393385281,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_28_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
117,0.5050888695303035,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_47_3.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
118,0.5094684354221253,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_14_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
119,0.5152631158597616,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_41_7.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
120,0.514214501582589,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_3_7.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
121,0.49695048837195643,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_27_4.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
122,0.5149550491719184,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_70_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
123,0.5112739274677035,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_47_5.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
124,0.5096492938842102,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_7_1.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
125,0.5280753627590556,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_13_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
126,0.5095938443156511,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_43_3.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
127,0.5091077170814653,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_47_2.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
128,0.5044114623206525,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_59_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
129,0.5024739341713752,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_11_7.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
